year,month,total_school_related,event_count,top_categories
all,1,,76,課程與教學:24; 考試與評估:18; 學術活動:16; 行政與教務通知:11; 學生事務與校園生活:6
all,2,,66,課程與教學:25; 學術活動:14; 考試與評估:12; 行政與教務通知:10; 學生事務與校園生活:5
all,3,,73,行政與教務通知:23; 課程與教學:16; 考試與評估:14; 學術活動:14; 學生事務與校園生活:5
all,4,,74,行政與教務通知:20; 課程與教學:19; 考試與評估:17; 學術活動:14; 學生事務與校園生活:3
all,5,,69,課程與教學:17; 考試與評估:16; 行政與教務通知:15; 學術活動:14; 學生事務與校園生活:7
all,6,,73,考試與評估:19; 課程與教學:19; 學術活動:14; 學生事務與校園生活:11; 行政與教務通知:10
all,7,,50,考試與評估:17; 課程與教學:14; 學術活動:8; 行政與教務通知:5; 學生事務與校園生活:5
all,8,,62,課程與教學:30; 學生事務與校園生活:11; 行政與教務通知:10; 考試與評估:6; 學術活動:5
all,9,,75,課程與教學:29; 行政與教務通知:22; 考試與評估:10; 學術活動:8; 學生事務與校園生活:6
all,10,,76,行政與教務通知:23; 課程與教學:19; 學術活動:15; 考試與評估:15; 學生事務與校園生活:4
all,11,,73,行政與教務通知:31; 課程與教學:23; 學生事務與校園生活:7; 考試與評估:6; 學術活動:6
all,12,,67,考試與評估:21; 課程與教學:21; 行政與教務通知:14; 學術活動:7; 學生事務與校園生活:4
