year,month,total_school_related,event_count,top_categories
all,1,,93,課程與教學:32; 學術活動:20; 考試與評估:17; 行政與教務通知:14; 學生事務與校園生活:9
all,2,,82,課程與教學:27; 學術活動:17; 學生事務與校園生活:13; 行政與教務通知:13; 考試與評估:11
all,3,,95,行政與教務通知:26; 考試與評估:21; 課程與教學:19; 學術活動:18; 學生事務與校園生活:9
all,4,,96,考試與評估:25; 行政與教務通知:21; 學術活動:21; 課程與教學:20; 學生事務與校園生活:8
all,5,,72,課程與教學:18; 考試與評估:17; 行政與教務通知:15; 學術活動:15; 學生事務與校園生活:7
all,6,,74,課程與教學:20; 考試與評估:18; 學生事務與校園生活:15; 學術活動:15; 行政與教務通知:5
all,7,,46,考試與評估:14; 課程與教學:14; 學術活動:7; 行政與教務通知:5; 學生事務與校園生活:5
all,8,,58,課程與教學:28; 學生事務與校園生活:10; 行政與教務通知:9; 考試與評估:6; 學術活動:5
all,9,,75,課程與教學:29; 行政與教務通知:22; 考試與評估:10; 學術活動:8; 學生事務與校園生活:6
all,10,,76,行政與教務通知:21; 課程與教學:20; 考試與評估:18; 學術活動:14; 學生事務與校園生活:3
all,11,,71,行政與教務通知:30; 課程與教學:24; 考試與評估:6; 學術活動:6; 學生事務與校園生活:5
all,12,,62,考試與評估:21; 課程與教學:20; 行政與教務通知:11; 學術活動:7; 學生事務與校園生活:3
